epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1987.05,2.51525,1.39106,0.88698,0.60774,0.418,0.461,0.17517,2.38613,1.29007,0.87325,0.0233746,0.00779154,0.0233746,0.00779154,0.0233746,0.00779154,0.0233746,0.00779154
31,2048.49,2.51877,1.3994,0.89229,0.60639,0.41485,0.45774,0.17513,2.36542,1.2794,0.87394,0.0231462,0.00771538,0.0231462,0.00771538,0.0231462,0.00771538,0.0231462,0.00771538
32,2110.04,2.5141,1.39546,0.88627,0.62523,0.41349,0.46227,0.17783,2.35514,1.28831,0.87066,0.0229177,0.00763923,0.0229177,0.00763923,0.0229177,0.00763923,0.0229177,0.00763923
33,2171.14,2.50249,1.38701,0.88703,0.61533,0.41256,0.45703,0.17693,2.36855,1.26554,0.87201,0.0226892,0.00756308,0.0226892,0.00756308,0.0226892,0.00756308,0.0226892,0.00756308
34,2232.35,2.49668,1.38109,0.88363,0.62168,0.41914,0.46539,0.17816,2.36303,1.2546,0.87183,0.0224608,0.00748692,0.0224608,0.00748692,0.0224608,0.00748692,0.0224608,0.00748692
35,2294.4,2.48488,1.36798,0.88805,0.61416,0.41943,0.46715,0.18114,2.35375,1.2572,0.87099,0.0222323,0.00741077,0.0222323,0.00741077,0.0222323,0.00741077,0.0222323,0.00741077
36,2356.64,2.48088,1.37851,0.88945,0.62387,0.42179,0.47287,0.18281,2.34561,1.24257,0.87076,0.0220038,0.00733462,0.0220038,0.00733462,0.0220038,0.00733462,0.0220038,0.00733462
37,2418.7,2.49384,1.37847,0.88166,0.6186,0.42587,0.47217,0.18127,2.34899,1.24977,0.8727,0.0217754,0.00725846,0.0217754,0.00725846,0.0217754,0.00725846,0.0217754,0.00725846
38,2480.74,2.47374,1.36522,0.88403,0.61773,0.42516,0.46808,0.17933,2.35649,1.27462,0.87015,0.0215469,0.00718231,0.0215469,0.00718231,0.0215469,0.00718231,0.0215469,0.00718231
39,2542.31,2.47888,1.36139,0.88011,0.62005,0.43403,0.4785,0.18582,2.33702,1.24155,0.86696,0.0213185,0.00710615,0.0213185,0.00710615,0.0213185,0.00710615,0.0213185,0.00710615
